date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-10-02,META,304.1490783691406,306.82000732421875,307.17999267578125,301.6300048828125,302.739990234375,16265600,Meta,0.022017819143781647,-0.019164274368257073,16.60456300623472
2023-10-03,META,298.3202819824219,300.94000244140625,306.7699890136719,299.6400146484375,304.260009765625,17362300,Meta,-0.019164274368257073,0.015418257273211111,16.669811746899917
2023-10-04,META,302.91986083984375,305.5799865722656,306.8999938964844,298.5,298.7300109863281,16880500,Meta,0.015418257273211111,-0.00258531113698679,16.641669667546477
2023-10-05,META,302.13671875,304.7900085449219,306.2099914550781,299.5,304.6300048828125,19130000,Meta,-0.00258531113698679,0.034909240177382506,16.766768341416437
2023-10-06,META,312.68408203125,315.42999267578125,316.30999755859375,300.9100036621094,301.44000244140625,21803900,Meta,0.034909240177382506,0.00928905941343916,16.897599410841355
2023-10-09,META,315.588623046875,318.3599853515625,320.3299865722656,311.82000732421875,312.5,22503700,Meta,0.00928905941343916,0.010930927992164996,16.929190298099588
2023-10-10,META,319.0382995605469,321.8399963378906,324.6600036621094,318.1600036621094,319.1199951171875,19038000,Meta,0.010930927992164996,0.018580678264058514,16.761947539793386
2023-10-11,META,324.96624755859375,327.82000732421875,328.8399963378906,322.95001220703125,323.010009765625,22036300,Meta,0.018580678264058514,-0.01116467737127902,16.908201651568113
2023-10-12,META,321.3381042480469,324.1600036621094,330.5400085449219,322.69000244140625,328.0,20530500,Meta,-0.01116467737127902,-0.029213720891957284,16.837422143301566
2023-10-13,META,311.95062255859375,314.69000244140625,325.04998779296875,312.3699951171875,323.5299987792969,21341000,Meta,-0.029213720891957284,0.02052788505730474,16.87614066309611
2023-10-16,META,318.35430908203125,321.1499938964844,321.82000732421875,315.5199890136719,318.6400146484375,16536100,Meta,0.02052788505730474,0.008874470203417806,16.621056427737162
2023-10-17,META,321.1795349121094,324.0,324.3999938964844,317.29998779296875,318.17999267578125,16387800,Meta,0.008874470203417806,-0.02169746126410299,16.612047713522685
2023-10-18,META,314.21075439453125,316.9700012207031,325.94000244140625,315.55999755859375,321.3900146484375,16851000,Meta,-0.02169746126410299,-0.01312414906753634,16.63992056018268
2023-10-19,META,310.0870056152344,312.80999755859375,321.8900146484375,311.75,319.8800048828125,18709200,Meta,-0.01312414906753634,-0.013299175046066147,16.744525939452643
2023-10-20,META,305.9631042480469,308.6499938964844,315.29998779296875,306.4700012207031,314.1400146484375,22312300,Meta,-0.013299175046066147,0.017366196948492618,16.920648653878526
2023-10-23,META,311.2765197753906,314.010009765625,317.3599853515625,307.260009765625,309.5,17796800,Meta,0.017366196948492618,-0.004649551285212494,16.694529223819902
2023-10-24,META,309.8292236328125,312.54998779296875,318.3500061035156,310.6300048828125,316.7799987792969,19525500,Meta,-0.004649551285212494,-0.04165739143248093,16.787231861556762
